Plugin	Plugin Name	Family	Severity	IP Address	Node Name	Branch	DeviceCategory	Environment	Criticality	Protocol	Port	Plugin Output	First Discovered	Last Observed	Synopsis	Description	Steps to Remediate	See Also	Vulnerability Priority Rating	Exploit Prediction Scoring System (EPSS)	CPE	CVE
306743	OpenSSH < 10.3 Multiple Vulnerabilities	Misc.	High		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	22	"<plugin_output>
  Version source    : SSH-2.0-OpenSSH_7.8
  Installed version : 7.8
  Fixed version     : 10.3
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The SSH server running on the remote host is affected by multiple vulnerabilities.	"The version of OpenSSH installed on the remote host is prior to 10.3. It is, therefore, affected by multiple vulnerabilities as referenced in the release-10.3 advisory.

  - In OpenSSH before 10.3, validation of shell metacharacters in user names supplied on the command-line     was performed too late, allowing potential expansion from %-tokens in ssh_config. For configurations     that use a %u token in a Match exec block, an attacker who can control the user name passed to ssh(1)     could potentially execute arbitrary shell commands. (CVE-2026-35386)

  - In OpenSSH before 10.3, a file downloaded by scp may be installed setuid or setgid, an outcome contrary     to some users' expectations, if the download is performed as root with -O (legacy scp protocol) and     without -p (preserve mode). (CVE-2026-35385)

  - OpenSSH before 10.3 can use unintended ECDSA algorithms. Listing of any ECDSA algorithm in     PubkeyAcceptedAlgorithms or HostbasedAcceptedAlgorithms is misinterpreted to mean all ECDSA algorithms.
    (CVE-2026-35387)

  - In OpenSSH before 10.3, connection multiplexing confirmation (requested using ControlMaster ask/autoask)     was not being tested for proxy mode multiplexing sessions (i.e. ssh -O proxy ...). (CVE-2026-35388)

  - OpenSSH before 10.3 mishandles the authorized_keys principals option in uncommon scenarios involving a     principals list in conjunction with a Certificate Authority that makes certain use of comma characters.     (CVE-2026-35414)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	Upgrade to OpenSSH version 10.3 or later.	https://www.openssh.com/txt/release-10.3	7.6	0.04	cpe:/a:openbsd:openssh	"CVE-2026-35388,CVE-2026-35385,CVE-2026-35386,CVE-2026-35387,CVE-2026-35414"
326244	OpenSSH < 10.4 Multiple Vulnerabilities	Misc.	Medium		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	22	"<plugin_output>
  Version source    : SSH-2.0-OpenSSH_7.8
  Installed version : 7.8
  Fixed version     : 10.4
</plugin_output>"	"Jul 18, 2026 11:22:40 CEST"	"Aug 15, 2026 11:21:06 CEST"	The SSH server running on the remote host is affected by multiple vulnerabilities.	"The version of OpenSSH installed on the remote host is prior to 10.4. It is, therefore, affected by multiple vulnerabilities, including:

  - ssh in OpenSSH before 10.4 can have a use-after-free when a server changes its host key during a key     re-exchange. This outcome occurs only on the client side. (CVE-2026-60002)

  - sshd in OpenSSH before 10.4 does not always honor the minimum authentication delay. (CVE-2026-60001)

  - In sshd in OpenSSH before 10.4, DisableForwarding=yes was supposed to take precedence over     PermitTunnel=yes, but did not. (CVE-2026-59999)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	Upgrade to OpenSSH version 10.4 or later.	https://www.openssh.org/releasenotes.html#10.4p1	4.5	0.34	cpe:/a:openbsd:openssh	"CVE-2026-60000,CVE-2026-60001,CVE-2026-60002,CVE-2026-59998,CVE-2026-59999,CVE-2026-59996,CVE-2026-59995,CVE-2026-59997"
191711	VMware ESXi 7.0 / 8.0 Multiple Vulnerabilities (VMSA-2024-0006)	Misc.	Medium		BOCEU-Dublin-Host-VMHOST1	Dublin	Physical Host	Production	Critical	TCP	443	"<plugin_output>
  ESXi version    : VMware ESXi 7.0.3 build-21930508
  Installed build : 21930508
  Fixed build     : 7.0U3 23307199
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The remote VMware ESXi host is affected by multiple vulnerabilities.	"The version of VMware ESXi installed on the remote host is prior to 7.0 Update 3p, 8.0 prior to 8.0 Update 1d, or 8.0 prior to 8.0 Update 2b. It is, therefore, affected by multiple vulnerabilities as referenced in the VMSA-2024-0006 advisory:

  - VMware ESXi, Workstation, and Fusion contain a use-after-free vulnerability in the XHCI USB controller. (CVE-2024-22252)

  - VMware ESXi, Workstation, and Fusion contain a use-after-free vulnerability in the UHCI USB controller. (CVE-2024-22253)

  - VMware ESXi contains an out-of-bounds write vulnerability. (CVE-2024-22254)

  - VMware ESXi, Workstation, and Fusion contain an information disclosure vulnerability in the UHCI USB controller.
    (CVE-2024-22255)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	"Upgrade to VMware ESXi 7.0 Update 3p, 8.0 Update 1d, or 8.0 Update 2b or later."	https://www.vmware.com/security/advisories/VMSA-2024-0006.html	5	0.23	cpe:/o:vmware:esxi	"CVE-2024-22252,CVE-2024-22253,CVE-2024-22254,CVE-2024-22255"
201125	VMware ESXi 7.0 / 8.0 Out-of-Bounds read (CVE-2024-37086)	Misc.	Low		BOCEU-Dublin-Host-VMHOST1	Dublin	Physical Host	Production	Critical	TCP	443	"<plugin_output>
  ESXi version    : VMware ESXi 7.0.3 build-21930508
  Installed build : 21930508
  Fixed build     : 7.0U3q 23794019
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The remote VMware ESXi host is affected by a out-of-bounds read vulnerability.	"The version of VMware ESXi installed on the remote host is prior to 7.0 Update 3q or 8.0 prior to 8.0 Update 3. It is, therefore, affected by an out-of-bounds read vulnerability as referenced in the VMSA-2024-0013 advisory:

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	"Upgrade to VMware ESXi 7.0 Update 3q, 8.0 Update 3 or later."	http://www.nessus.org/u?04fbf245	3.5	0.05	cpe:/o:vmware:esxi	CVE-2024-37086
237246	VMware ESXi 7.0 / 8.0 Multiple Vulenerabilities (VMSA-2025-0010)	Misc.	Low		BOCEU-Dublin-Host-VMHOST1	Dublin	Physical Host	Production	Critical	TCP	443	"<plugin_output>
  ESXi version    : 7.0
  Installed build : 21930508
  Fixed build     : 7.0U3 24723868
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The VMware ESXi is affected by multiple vulnerabilities.	"The version of VMware ESXi installed on the remote host is 7.0.x prior to 7.0 Update 3v or 8.0.x prior to 8.0 Update 3e. It is, therefore, affected by multiple vulnerabilities as referenced in the VMSA-2025-0010 advisory.

  - ESXi contains a denial-of-service vulnerability that occurs when performing a guest operation.     (CVE-2025-41226)

  - Workstation, Fusion and ESXi contain a denial-of-service vulnerability due to certain guest options.     (CVE-2025-41227)

  - VMware ESXi and vCenter Server contain a reflected cross-site scripting vulnerability due to improper     input validation. (CVE-2025-41228)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	"Upgrade to ESXi 7.0 Update 3v, 8.0 Update 3e or later."	http://www.nessus.org/u?c8ce45e5	3.3	0.03	cpe:/o:vmware:esxi	"CVE-2025-41226,CVE-2025-41227,CVE-2025-41228"
237304	VMware ESXi 7.0 / 8.0 Multiple Vulnerabilities (VMSA-2025-0004)	Misc.	Critical		BOCEU-Dublin-Host-VMHOST1	Dublin	Physical Host	Production	Critical	TCP	443	"<plugin_output>
  ESXi version    : VMware ESXi 7.0.3 build-21930508
  Installed build : 21930508
  Fixed build     : 7.0U3s 24585291
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The remote VMware ESXi host is affected by multiple vulnerabilities.	"The version of VMware ESXi installed on the remote host is 7.0 prior to 7.0 Update 3s, 8.0 Update 2 prior to 8.0 Update 2d, or 8.0 Update 3 prior to 8.0 Update 3d. It is, therefore, affected by multiple vulnerabilities as referenced in the VMSA-2025-0004 advisory:

  - VMware ESXi, and Workstation contain a TOCTOU (Time-of-Check Time-of-Use) vulnerability that leads to an     out-of-bounds write. A malicious actor with local administrative privileges on a virtual machine may exploit this     issue to execute code as the virtual machine's VMX process running on the host. (CVE-2025-22224)

  - VMware ESXi contains an arbitrary write vulnerability. A malicious actor with privileges within the VMX process may     trigger an arbitrary kernel write leading to an escape of the sandbox. (CVE-2025-22225)

  - VMware ESXi, Workstation, and Fusion contain an information disclosure vulnerability due to an out-of-bounds read     in HGFS. A malicious actor with administrative privileges to a virtual machine may be able to exploit this issue to     leak memory from the vmx process. (CVE-2025-22226)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	"Upgrade to VMware ESXi 7.0 Update 3s, 8.0 Update 2d, or 8.0 Update 3d or later."	http://www.nessus.org/u?15790ced	9.3	8.2	cpe:/o:vmware:esxi	"CVE-2025-22226,CVE-2025-22224,CVE-2025-22225"
242168	VMware ESXi 7.x < 7.0 Update 3w / 8.x < 8.0 Update 2e / 8.0 Update 3 < 8.0 Update 3f (VMSA-2025-0013)	Misc.	Medium		BOCEU-Dublin-Host-VMHOST1	Dublin	Physical Host	Production	Critical	TCP	443	"<plugin_output>
  ESXi version    : 7.0.3
  Installed build : 21930508
  Fixed build     : 7.0U3w 24784741
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	VMware ESXi is affected by multiple vulnerabilities.	"The version of VMware ESXi installed on the remote host is 7.x prior to 7.0 Update 3w, 8.x prior to 8.0 Update 2e, or 8.0 Update 3 prior to 8.0 Update 3f. It is, therefore, affected by multiple vulnerabilities as referenced in the VMSA-2025-0013 advisory:

  - VMware ESXi, Workstation, and Fusion contain an integer-overflow vulnerability in the VMXNET3 virtual network     adapter. (CVE-2025-41236)

  - VMware ESXi, Workstation, and Fusion contain an integer-underflow in VMCI (Virtual Machine Communication Interface)     that leads to an out-of-bounds write. (CVE-2025-41237)

  - VMware ESXi, Workstation, and Fusion contain a heap-overflow vulnerability in the PVSCSI (Paravirtualized SCSI)     controller that leads to an out of-bounds write. (CVE-2025-41238)

  - VMware ESXi, Workstation, Fusion, and VMware Tools contains an information disclosure vulnerability due to the usage     of an uninitialised memory in vSockets. (CVE-2025-41239)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	"Upgrade to VMware ESXi 7.0 Update 3w, 8.0 Update 2e, or 8.0 Update 3f or later."	http://www.nessus.org/u?98207605	5	0.02	cpe:/o:vmware:esxi	"CVE-2025-41236,CVE-2025-41237,CVE-2025-41238,CVE-2025-41239"
42873	SSL Medium Strength Cipher Suites Supported (SWEET32)	General	Medium		N/A	Dublin	N/A	N/A	Critical	TCP	3389	"<plugin_output>
  Medium Strength Ciphers (&gt; 64-bit and &lt; 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
</plugin_output>"	"Jul 18, 2026 11:22:40 CEST"	"Aug 15, 2026 11:21:06 CEST"	The remote service supports the use of medium strength SSL ciphers.	"The remote host supports the use of SSL ciphers that offer medium strength encryption. Nessus regards medium strength as any encryption that uses key lengths at least 64 bits and less than 112 bits, or else that uses the 3DES encryption suite.

Note that it is considerably easier to circumvent medium strength encryption if the attacker is on the same physical network."	Reconfigure the affected application if possible to avoid use of medium strength ciphers.	"http://www.nessus.org/u?df5555f5
https://sweet32.info"	5.7	95.71		CVE-2016-2183
191711	VMware ESXi 7.0 / 8.0 Multiple Vulnerabilities (VMSA-2024-0006)	Misc.	Medium		BOCEU-Dublin-Host-VMHOST2	Dublin	Physical Host	Production	Critical	TCP	443	"<plugin_output>
  ESXi version    : VMware ESXi 7.0.3 build-21930508
  Installed build : 21930508
  Fixed build     : 7.0U3 23307199
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The remote VMware ESXi host is affected by multiple vulnerabilities.	"The version of VMware ESXi installed on the remote host is prior to 7.0 Update 3p, 8.0 prior to 8.0 Update 1d, or 8.0 prior to 8.0 Update 2b. It is, therefore, affected by multiple vulnerabilities as referenced in the VMSA-2024-0006 advisory:

  - VMware ESXi, Workstation, and Fusion contain a use-after-free vulnerability in the XHCI USB controller. (CVE-2024-22252)

  - VMware ESXi, Workstation, and Fusion contain a use-after-free vulnerability in the UHCI USB controller. (CVE-2024-22253)

  - VMware ESXi contains an out-of-bounds write vulnerability. (CVE-2024-22254)

  - VMware ESXi, Workstation, and Fusion contain an information disclosure vulnerability in the UHCI USB controller.
    (CVE-2024-22255)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	"Upgrade to VMware ESXi 7.0 Update 3p, 8.0 Update 1d, or 8.0 Update 2b or later."	https://www.vmware.com/security/advisories/VMSA-2024-0006.html	5	0.23	cpe:/o:vmware:esxi	"CVE-2024-22252,CVE-2024-22253,CVE-2024-22254,CVE-2024-22255"
201125	VMware ESXi 7.0 / 8.0 Out-of-Bounds read (CVE-2024-37086)	Misc.	Low		BOCEU-Dublin-Host-VMHOST2	Dublin	Physical Host	Production	Critical	TCP	443	"<plugin_output>
  ESXi version    : VMware ESXi 7.0.3 build-21930508
  Installed build : 21930508
  Fixed build     : 7.0U3q 23794019
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The remote VMware ESXi host is affected by a out-of-bounds read vulnerability.	"The version of VMware ESXi installed on the remote host is prior to 7.0 Update 3q or 8.0 prior to 8.0 Update 3. It is, therefore, affected by an out-of-bounds read vulnerability as referenced in the VMSA-2024-0013 advisory:

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	"Upgrade to VMware ESXi 7.0 Update 3q, 8.0 Update 3 or later."	http://www.nessus.org/u?04fbf245	3.5	0.05	cpe:/o:vmware:esxi	CVE-2024-37086
237246	VMware ESXi 7.0 / 8.0 Multiple Vulenerabilities (VMSA-2025-0010)	Misc.	Low		BOCEU-Dublin-Host-VMHOST2	Dublin	Physical Host	Production	Critical	TCP	443	"<plugin_output>
  ESXi version    : 7.0
  Installed build : 21930508
  Fixed build     : 7.0U3 24723868
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The VMware ESXi is affected by multiple vulnerabilities.	"The version of VMware ESXi installed on the remote host is 7.0.x prior to 7.0 Update 3v or 8.0.x prior to 8.0 Update 3e. It is, therefore, affected by multiple vulnerabilities as referenced in the VMSA-2025-0010 advisory.

  - ESXi contains a denial-of-service vulnerability that occurs when performing a guest operation.     (CVE-2025-41226)

  - Workstation, Fusion and ESXi contain a denial-of-service vulnerability due to certain guest options.     (CVE-2025-41227)

  - VMware ESXi and vCenter Server contain a reflected cross-site scripting vulnerability due to improper     input validation. (CVE-2025-41228)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	"Upgrade to ESXi 7.0 Update 3v, 8.0 Update 3e or later."	http://www.nessus.org/u?c8ce45e5	3.3	0.03	cpe:/o:vmware:esxi	"CVE-2025-41226,CVE-2025-41227,CVE-2025-41228"
237304	VMware ESXi 7.0 / 8.0 Multiple Vulnerabilities (VMSA-2025-0004)	Misc.	Critical		BOCEU-Dublin-Host-VMHOST2	Dublin	Physical Host	Production	Critical	TCP	443	"<plugin_output>
  ESXi version    : VMware ESXi 7.0.3 build-21930508
  Installed build : 21930508
  Fixed build     : 7.0U3s 24585291
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The remote VMware ESXi host is affected by multiple vulnerabilities.	"The version of VMware ESXi installed on the remote host is 7.0 prior to 7.0 Update 3s, 8.0 Update 2 prior to 8.0 Update 2d, or 8.0 Update 3 prior to 8.0 Update 3d. It is, therefore, affected by multiple vulnerabilities as referenced in the VMSA-2025-0004 advisory:

  - VMware ESXi, and Workstation contain a TOCTOU (Time-of-Check Time-of-Use) vulnerability that leads to an     out-of-bounds write. A malicious actor with local administrative privileges on a virtual machine may exploit this     issue to execute code as the virtual machine's VMX process running on the host. (CVE-2025-22224)

  - VMware ESXi contains an arbitrary write vulnerability. A malicious actor with privileges within the VMX process may     trigger an arbitrary kernel write leading to an escape of the sandbox. (CVE-2025-22225)

  - VMware ESXi, Workstation, and Fusion contain an information disclosure vulnerability due to an out-of-bounds read     in HGFS. A malicious actor with administrative privileges to a virtual machine may be able to exploit this issue to     leak memory from the vmx process. (CVE-2025-22226)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	"Upgrade to VMware ESXi 7.0 Update 3s, 8.0 Update 2d, or 8.0 Update 3d or later."	http://www.nessus.org/u?15790ced	9.3	8.2	cpe:/o:vmware:esxi	"CVE-2025-22226,CVE-2025-22224,CVE-2025-22225"
242168	VMware ESXi 7.x < 7.0 Update 3w / 8.x < 8.0 Update 2e / 8.0 Update 3 < 8.0 Update 3f (VMSA-2025-0013)	Misc.	Medium		BOCEU-Dublin-Host-VMHOST2	Dublin	Physical Host	Production	Critical	TCP	443	"<plugin_output>
  ESXi version    : 7.0.3
  Installed build : 21930508
  Fixed build     : 7.0U3w 24784741
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	VMware ESXi is affected by multiple vulnerabilities.	"The version of VMware ESXi installed on the remote host is 7.x prior to 7.0 Update 3w, 8.x prior to 8.0 Update 2e, or 8.0 Update 3 prior to 8.0 Update 3f. It is, therefore, affected by multiple vulnerabilities as referenced in the VMSA-2025-0013 advisory:

  - VMware ESXi, Workstation, and Fusion contain an integer-overflow vulnerability in the VMXNET3 virtual network     adapter. (CVE-2025-41236)

  - VMware ESXi, Workstation, and Fusion contain an integer-underflow in VMCI (Virtual Machine Communication Interface)     that leads to an out-of-bounds write. (CVE-2025-41237)

  - VMware ESXi, Workstation, and Fusion contain a heap-overflow vulnerability in the PVSCSI (Paravirtualized SCSI)     controller that leads to an out of-bounds write. (CVE-2025-41238)

  - VMware ESXi, Workstation, Fusion, and VMware Tools contains an information disclosure vulnerability due to the usage     of an uninitialised memory in vSockets. (CVE-2025-41239)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	"Upgrade to VMware ESXi 7.0 Update 3w, 8.0 Update 2e, or 8.0 Update 3f or later."	http://www.nessus.org/u?98207605	5	0.02	cpe:/o:vmware:esxi	"CVE-2025-41236,CVE-2025-41237,CVE-2025-41238,CVE-2025-41239"
42873	SSL Medium Strength Cipher Suites Supported (SWEET32)	General	Medium		N/A	Dublin	N/A	N/A	Critical	TCP	3389	"<plugin_output>
  Medium Strength Ciphers (&gt; 64-bit and &lt; 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The remote service supports the use of medium strength SSL ciphers.	"The remote host supports the use of SSL ciphers that offer medium strength encryption. Nessus regards medium strength as any encryption that uses key lengths at least 64 bits and less than 112 bits, or else that uses the 3DES encryption suite.

Note that it is considerably easier to circumvent medium strength encryption if the attacker is on the same physical network."	Reconfigure the affected application if possible to avoid use of medium strength ciphers.	"http://www.nessus.org/u?df5555f5
https://sweet32.info"	5.7	95.71		CVE-2016-2183
41028	SNMP Agent Default Community Name (public)	SNMP	Low		N/A	Dublin	N/A	N/A	Critical	UDP	161	"<plugin_output>
The remote SNMP server replies to the following default community
string :

public</plugin_output>"	"Jul 25, 2026 11:23:06 CEST"	"Aug 15, 2026 11:21:06 CEST"	The community name of the remote SNMP server can be guessed.	"It is possible to obtain the default community name of the remote SNMP server.

An attacker may use this information to gain more knowledge about the remote host, or to change the configuration of the remote system (if the default community allows such modifications)."	"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the default community string."		2.8	27.17		CVE-1999-0517
76474	SNMP 'GETBULK' Reflection DDoS	SNMP	Low		N/A	Dublin	N/A	N/A	Critical	UDP	161	"<plugin_output>
Nessus was able to determine the SNMP service can be abused in an SNMP
Reflection DDoS attack :

  Request size  (bytes) : 42
  Response size (bytes) : 868
</plugin_output>"	"Jul 25, 2026 11:23:06 CEST"	"Aug 15, 2026 11:21:06 CEST"	The remote SNMP daemon is affected by a vulnerability that allows a reflected distributed denial of service attack.	The remote SNMP daemon is responding with a large amount of data to a 'GETBULK' request with a larger than normal value for 'max-repetitions'. A remote attacker can use this SNMP server to conduct a reflected distributed denial of service attack on an arbitrary remote host.	"Disable the SNMP service on the remote host if you do not use it.
Otherwise, restrict and monitor access to this service, and consider changing the default 'public' community string."	http://www.nessus.org/u?8b551b5c	3	7.87		CVE-2008-4309
42873	SSL Medium Strength Cipher Suites Supported (SWEET32)	General	Medium		N/A	Dublin	N/A	N/A	Critical	TCP	3389	"<plugin_output>
  Medium Strength Ciphers (&gt; 64-bit and &lt; 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The remote service supports the use of medium strength SSL ciphers.	"The remote host supports the use of SSL ciphers that offer medium strength encryption. Nessus regards medium strength as any encryption that uses key lengths at least 64 bits and less than 112 bits, or else that uses the 3DES encryption suite.

Note that it is considerably easier to circumvent medium strength encryption if the attacker is on the same physical network."	Reconfigure the affected application if possible to avoid use of medium strength ciphers.	"http://www.nessus.org/u?df5555f5
https://sweet32.info"	5.7	95.71		CVE-2016-2183
42873	SSL Medium Strength Cipher Suites Supported (SWEET32)	General	Medium		N/A	Dublin	N/A	N/A	Critical	TCP	3389	"<plugin_output>
  Medium Strength Ciphers (&gt; 64-bit and &lt; 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The remote service supports the use of medium strength SSL ciphers.	"The remote host supports the use of SSL ciphers that offer medium strength encryption. Nessus regards medium strength as any encryption that uses key lengths at least 64 bits and less than 112 bits, or else that uses the 3DES encryption suite.

Note that it is considerably easier to circumvent medium strength encryption if the attacker is on the same physical network."	Reconfigure the affected application if possible to avoid use of medium strength ciphers.	"http://www.nessus.org/u?df5555f5
https://sweet32.info"	5.7	95.71		CVE-2016-2183
187315	SSH Terrapin Prefix Truncation Weakness (CVE-2023-48795)	Misc.	Medium		N/A	Dublin	N/A	N/A	Critical	TCP	33033	"<plugin_output>Supports following ChaCha20-Poly1305 Client to Server algorithm : aes128-ctr,aes192-ctr,aes256-ctr,aes128-gcm@openssh.com,aes256-gcm@openssh.com,chacha20-poly1305@openssh.com
Supports following Encrypt-then-MAC Client to Server algorithm  : hmac-sha2-512,hmac-sha2-512-etm@openssh.com,hmac-sha2-256,hmac-sha2-256-etm@openssh.com
Supports following ChaCha20-Poly1305 Server to Client algorithm : aes128-ctr,aes192-ctr,aes256-ctr,aes128-gcm@openssh.com,aes256-gcm@openssh.com,chacha20-poly1305@openssh.com
Supports following Encrypt-then-MAC Server to Client algorithm  : hmac-sha2-512,hmac-sha2-512-etm@openssh.com,hmac-sha2-256,hmac-sha2-256-etm@openssh.com
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The remote SSH server is vulnerable to a mitm prefix truncation attack.	"The remote SSH server is vulnerable to a man-in-the-middle prefix truncation weakness known as Terrapin. This can allow a remote, man-in-the-middle attacker to bypass integrity checks and downgrade the connection's security.

Note that this plugin only checks for remote SSH servers that support either ChaCha20-Poly1305 or CBC with Encrypt-then-MAC and do not support the strict key exchange countermeasures. It does not check for vulnerable software versions."	Contact the vendor for an update with the strict key exchange countermeasures or disable the affected algorithms.	https://terrapin-attack.com/	5	93.31	cpe:/a:openbsd:openssh	CVE-2023-48795
42873	SSL Medium Strength Cipher Suites Supported (SWEET32)	General	Medium		N/A	Dublin	N/A	N/A	Critical	TCP	3389	"<plugin_output>
  Medium Strength Ciphers (&gt; 64-bit and &lt; 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The remote service supports the use of medium strength SSL ciphers.	"The remote host supports the use of SSL ciphers that offer medium strength encryption. Nessus regards medium strength as any encryption that uses key lengths at least 64 bits and less than 112 bits, or else that uses the 3DES encryption suite.

Note that it is considerably easier to circumvent medium strength encryption if the attacker is on the same physical network."	Reconfigure the affected application if possible to avoid use of medium strength ciphers.	"http://www.nessus.org/u?df5555f5
https://sweet32.info"	5.7	95.71		CVE-2016-2183
42873	SSL Medium Strength Cipher Suites Supported (SWEET32)	General	Medium		N/A	Dublin	N/A	N/A	Critical	TCP	17245	"<plugin_output>
  Medium Strength Ciphers (&gt; 64-bit and &lt; 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
</plugin_output>"	"Jul 25, 2026 11:23:06 CEST"	"Aug 15, 2026 11:21:06 CEST"	The remote service supports the use of medium strength SSL ciphers.	"The remote host supports the use of SSL ciphers that offer medium strength encryption. Nessus regards medium strength as any encryption that uses key lengths at least 64 bits and less than 112 bits, or else that uses the 3DES encryption suite.

Note that it is considerably easier to circumvent medium strength encryption if the attacker is on the same physical network."	Reconfigure the affected application if possible to avoid use of medium strength ciphers.	"http://www.nessus.org/u?df5555f5
https://sweet32.info"	5.7	95.71		CVE-2016-2183
